id,name,deep link
2,Shampoo & Body Wash - Vanilla / Tangerine 8 Oz,https://sl.trycircle.com/2rdMigFyO3
7,Shampoo & Body Wash - Vanilla / Tangerine 16 Oz,https://sl.trycircle.com/5xRLIjFyO3
8,Shampoo & Body Wash - Lavender /Chamomile 8 Oz ,https://sl.trycircle.com/OmjMtlFyO3
9,Shampoo & Body Wash - Lavender / Chamomile 16 Oz,https://sl.trycircle.com/ghUBfnFyO3
10,Shampoo & Body Wash - Coconut / Pineapple 16 Oz,https://sl.trycircle.com/X58B3pFyO3
13,Conditioner & Detangler -  Vanilla / Tangerine 16 Oz,https://sl.trycircle.com/OWfsLuFyO3
17,Conditioner & Detangler -  Lavender / Chamomile 16 Oz,https://sl.trycircle.com/aLsSMwFyO3
18,Conditioner & Detangler -  Coconut / Pineapple 16 Oz,https://sl.trycircle.com/byaN5xFyO3
19,"Face & Body Moisturizer "" Organic"" 8 Oz",https://sl.trycircle.com/oBRLBzFyO3
20,"Diaper Ointment "" Organic "" FF 3 Oz",https://sl.trycircle.com/5jXkYAFyO3
21,PU All Purpose Deodorizer - Vanilla / Tangerine 4 Oz,https://sl.trycircle.com/zMNBsCFyO3
22,PU All Purpose Deodorizer - Lavender / Chamomile 4 Oz,https://sl.trycircle.com/sxgcNDFyO3
23,Calming Spray - Lovely Lavender 4 Oz,https://sl.trycircle.com/lIHPJFFyO3
24,"Baby Oil "" Organic "" Mandarin Coconut 4 Oz",https://sl.trycircle.com/lmbSiHFyO3
25,"Ah-Choo ! Chest Rub "" Organic "" Eucalyptus 2 Oz",https://sl.trycircle.com/VxkFCIFyO3
28,Bubble Bath - Tangy Tangerine 12 Oz,https://sl.trycircle.com/Yf1teNFyO3
29,Bubble Bath - Lovely Lavender 12 Oz,https://sl.trycircle.com/FnccAOFyO3
36,Kanken Graphite ,https://sl.trycircle.com/5GDhgRFyO3
