id,name,deep link
2,Shampoo & Body Wash - Vanilla / Tangerine 8 Oz,https://sl.trycircle.com/2rdMigFyO3
7,Shampoo & Body Wash - Vanilla / Tangerine 16 Oz,https://sl.trycircle.com/5xRLIjFyO3
8,Shampoo & Body Wash - Lavender /Chamomile 8 Oz ,https://sl.trycircle.com/OmjMtlFyO3
9,Shampoo & Body Wash - Lavender / Chamomile 16 Oz,https://sl.trycircle.com/ghUBfnFyO3
10,Shampoo & Body Wash - Coconut / Pineapple 16 Oz,https://sl.trycircle.com/X58B3pFyO3
13,Conditioner & Detangler -  Vanilla / Tangerine 16 Oz,https://sl.trycircle.com/OWfsLuFyO3
17,Conditioner & Detangler -  Lavender / Chamomile 16 Oz,https://sl.trycircle.com/aLsSMwFyO3
18,Conditioner & Detangler -  Coconut / Pineapple 16 Oz,https://sl.trycircle.com/byaN5xFyO3
19,"Face & Body Moisturizer "" Organic"" 8 Oz",https://sl.trycircle.com/oBRLBzFyO3
20,"Diaper Ointment "" Organic "" FF 3 Oz",https://sl.trycircle.com/5jXkYAFyO3
21,PU All Purpose Deodorizer - Vanilla / Tangerine 4 Oz,https://sl.trycircle.com/zMNBsCFyO3
22,PU All Purpose Deodorizer - Lavender / Chamomile 4 Oz,https://sl.trycircle.com/sxgcNDFyO3
23,Calming Spray - Lovely Lavender 4 Oz,https://sl.trycircle.com/lIHPJFFyO3
24,"Baby Oil "" Organic "" Mandarin Coconut 4 Oz",https://sl.trycircle.com/lmbSiHFyO3
25,"Ah-Choo ! Chest Rub "" Organic "" Eucalyptus 2 Oz",https://sl.trycircle.com/VxkFCIFyO3
28,Bubble Bath - Tangy Tangerine 12 Oz,https://sl.trycircle.com/Yf1teNFyO3
29,Bubble Bath - Lovely Lavender 12 Oz,https://sl.trycircle.com/FnccAOFyO3
36,Kanken Graphite ,https://sl.trycircle.com/5GDhgRFyO3
50,Kanken Mini Burnt Orange,https://sl.trycircle.com/N36V7aGyO3
51,Kanken Mini Peach Pink,https://sl.trycircle.com/qL5OscGyO3
54,Kanken Mini Sky Blue,https://sl.trycircle.com/XMxgjgGyO3
106,Black Breeze,https://sl.trycircle.com/u0f6ybp8D8
107,Golden Nest Mubkhar,https://sl.trycircle.com/5oNku8tx57
108,Mini Nest - Golden,https://sl.trycircle.com/EKLGdKGyO3
109,Mini Nest - Black,https://sl.trycircle.com/DTEZxLGyO3
110,Raw Diamond,https://sl.trycircle.com/9Zx9UOGyO3
111,Spring Mubkhar,https://sl.trycircle.com/FdTwLQm6q8
114,White Triangle,https://sl.trycircle.com/cLjSqqN8D8
115,Sigal Glitter,https://sl.trycircle.com/iD0iRUGyO3
116,Orion Glitter,https://sl.trycircle.com/iwbF9VGyO3
117,Sea Glitter,https://sl.trycircle.com/JMGmvXGyO3
118,Cheers Glitter,https://sl.trycircle.com/Ot6C5YGyO3
119,Crystal Ball Glitter,https://sl.trycircle.com/UCeLL0GyO3
120,Black Pearl Glitter,https://sl.trycircle.com/fkvG41GyO3
121,Bubble Gum Glitter,https://sl.trycircle.com/A2BSl3GyO3
122,Snow Glitter,https://sl.trycircle.com/Z2U9J4GyO3
123,Navy Shimmer,https://sl.trycircle.com/LGqv65GyO3
124,Fabulous Shimmer,https://sl.trycircle.com/FnEbs7GyO3
125,Dreamscape Shimmer,https://sl.trycircle.com/OzHeQ8GyO3
126,Goldfish Shimmer,https://sl.trycircle.com/pRzN89GyO3
127,Sweet Gold Shimmer,https://sl.trycircle.com/LT3WDbHyO3
128,Lilac Shimmer,https://sl.trycircle.com/WgPqVcHyO3
129,Lavender Shimmer,https://sl.trycircle.com/uGUIdeHyO3
130,Iris Shimmer,https://sl.trycircle.com/EIjUAfHyO3
131,Rusty Shimmer,https://sl.trycircle.com/rdy4XgHyO3
132,Wine Shimmer,https://sl.trycircle.com/e3XTmiHyO3
133,Café Shimmer,https://sl.trycircle.com/fM7aNjHyO3
134,Birch Shimmer,https://sl.trycircle.com/7x8zglHyO3
135,Serenity Shimmer,https://sl.trycircle.com/fitmgnHyO3
136,Seashell Shimmer,https://sl.trycircle.com/lBY6xoHyO3
137,Baby Doll Shimmer,https://sl.trycircle.com/o4o1QpHyO3
